PRCE_REG_YMD,CTNP_NM,PDLT_NM,SPCS_NM,EXMN_SE_NM,BULK_GRAD_NM,PDLT_PRCE,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20210218,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210218,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210218,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210218,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210218,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210219,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210219,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210219,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210219,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210219,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210222,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210222,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210222,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210222,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210222,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210223,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210223,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210223,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210223,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210223,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210224,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210224,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210224,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210224,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210224,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210225,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210225,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210225,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210225,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210225,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210226,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210226,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210226,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210226,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210226,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210302,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210302,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210302,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210302,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210302,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210303,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210303,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210303,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210303,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210303,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210304,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210304,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210304,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210304,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210304,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210305,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210305,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210305,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2590.0,1.0,봉,N,20240102062408
20210305,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
20210305,서울,콩나물,풀무원 국산콩 콩나물 340g,소매,상품,2500.0,1.0,봉,N,20240102062408
